target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
consul,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7680905956756566,0.3385288346725508,14,0,,,0.75,0.6578210231461006,0.5609756097560976,0.45098039215686275,0.5,0.8041958041958042,0.8646616541353384,0.8333333333333334,0.8041958041958042,0.8646616541353384,0.8333333333333334,0.3395047162370424,0.7705292643373138,0.7705292643373138,0.9059660870699329,23,28,18,115,184,51,133,0.7228260869565217,41,143,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,none
consul,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",0.7663071418775508,0.3818954690606562,14,0,,,0.75,0.681999115435648,0.5510204081632653,0.5294117647058824,0.54,0.8222222222222222,0.8345864661654135,0.8283582089552238,0.8222222222222222,0.8345864661654135,0.8283582089552238,0.36859145018036765,0.7783429161138139,0.7783429161138139,0.8916545600141252,27,24,22,111,184,51,133,0.7228260869565217,49,135,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,none
fiber,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.15115131345170413,0.14200368145966413,14,0,,,0.3770491803278688,0.5066287878787878,0.3638297872340426,0.9715909090909091,0.5294117647058824,0.7222222222222222,0.041666666666666664,0.07878787878787878,0.7222222222222222,0.041666666666666664,0.07878787878787878,0.03377633838144768,0.6239073426573427,0.6239073426573427,0.7484692221609931,171,5,299,13,488,176,312,0.639344262295082,470,18,commit,15,27565,15706,11859,0.5697805187738073,488,312,176,0.639344262295082,none
fiber,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.6672282224519503,0.3614336101150517,14,0,,,0.5717213114754098,0.6365821678321678,0.45132743362831856,0.8693181818181818,0.5941747572815534,0.8456375838926175,0.40384615384615385,0.5466377440347071,0.8456375838926175,0.40384615384615385,0.5466377440347071,0.2848161718137759,0.7031705273892774,0.7031705273892774,0.7933912287915077,153,23,186,126,488,176,312,0.639344262295082,339,149,commit,15,27565,15706,11859,0.5697805187738073,488,312,176,0.639344262295082,none
fiber,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7788370937353648,0.35368204067146003,14,0,,,0.6331967213114754,0.6115967365967365,0.49214659685863876,0.5340909090909091,0.5122615803814714,0.7239057239057239,0.6891025641025641,0.7060755336617406,0.7239057239057239,0.6891025641025641,0.7060755336617406,0.2195938702762635,0.6715289918414918,0.6715289918414918,0.7860923451352264,94,82,97,215,488,176,312,0.639344262295082,191,297,commit,15,27565,15706,11859,0.5697805187738073,488,312,176,0.639344262295082,none
fiber,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",0.7735910283527045,0.38704212859383386,14,0,,,0.6516393442622951,0.6532634032634033,0.5132743362831859,0.6590909090909091,0.5771144278606966,0.7709923664122137,0.6474358974358975,0.7038327526132404,0.7709923664122137,0.6474358974358975,0.7038327526132404,0.2951869993396152,0.7064484994172493,0.7064484994172493,0.8120692937032992,116,60,110,202,488,176,312,0.639344262295082,226,262,commit,15,27565,15706,11859,0.5697805187738073,488,312,176,0.639344262295082,none
gin,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.15640383870422936,0.14425543735176066,14,0,,,0.44366197183098594,0.5,0.44366197183098594,1.0,0.6146341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5007032348804501,0.5007032348804501,0.6313292134405606,63,0,79,0,142,63,79,0.5563380281690141,142,0,commit,15,27911,15939,11972,0.5710651714377843,142,79,63,0.5563380281690141,none
gin,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.6762820718168869,0.36457124961930226,14,0,,,0.5492957746478874,0.5852923447860157,0.4956521739130435,0.9047619047619048,0.6404494382022472,0.7777777777777778,0.26582278481012656,0.39622641509433965,0.7777777777777778,0.26582278481012656,0.39622641509433965,0.21596982064370537,0.6900743419730762,0.6900743419730762,0.7442956385997579,57,6,58,21,142,63,79,0.5563380281690141,115,27,commit,15,27911,15939,11972,0.5710651714377843,142,79,63,0.5563380281690141,none
gin,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7824128202587498,0.34333663821325516,14,0,,,0.6549295774647887,0.6673699015471167,0.5833333333333334,0.7777777777777778,0.6666666666666666,0.7586206896551724,0.5569620253164557,0.6423357664233577,0.7586206896551724,0.5569620253164557,0.6423357664233577,0.33832768483003783,0.7203134418324293,0.7203134418324293,0.7830361277050735,49,14,35,44,142,63,79,0.5563380281690141,84,58,commit,15,27911,15939,11972,0.5710651714377843,142,79,63,0.5563380281690141,none
gin,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",0.7790370242080056,0.3858678788375765,14,0,,,0.676056338028169,0.6960016073940125,0.5913978494623656,0.873015873015873,0.7051282051282052,0.8367346938775511,0.5189873417721519,0.640625,0.8367346938775511,0.5189873417721519,0.640625,0.40966978573556134,0.731163351416516,0.731163351416516,0.7884653723594274,55,8,38,41,142,63,79,0.5563380281690141,93,49,commit,15,27911,15939,11972,0.5710651714377843,142,79,63,0.5563380281690141,none
