target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
consul,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7622177683938581,0.3500393430617524,14,0,,,0.7228260869565217,0.6450685537372844,0.5,0.4705882352941176,0.4848484848484848,0.8014705882352942,0.8195488721804511,0.8104089219330854,0.8014705882352942,0.8195488721804511,0.8104089219330854,0.2957495637515717,0.7600619195046439,0.7600619195046439,0.9001551229337039,24,27,24,109,184,51,133,0.7228260869565217,48,136,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,random_over
consul,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",0.7437764681505702,0.370447830724166,14,0,,,0.7554347826086957,0.7220256523662096,0.55,0.6470588235294118,0.5945945945945946,0.8548387096774194,0.7969924812030075,0.8249027237354085,0.8548387096774194,0.7969924812030075,0.8249027237354085,0.4239919306289297,0.7848297213622292,0.7848297213622292,0.904717818899431,33,18,27,106,184,51,133,0.7228260869565217,60,124,commit,15,27869,15885,11984,0.5699881588862177,184,133,51,0.7228260869565217,random_over
fiber,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.1540869760859412,0.1431834415378992,14,0,,,0.3790983606557377,0.5082313519813519,0.3646055437100213,0.9715909090909092,0.5302325581395348,0.7368421052631579,0.0448717948717948,0.0845921450151057,0.7368421052631579,0.0448717948717948,0.0845921450151057,0.0408668889537454,0.6253733245920746,0.6253733245920746,0.7502017700260805,171,5,298,14,488,176,312,0.639344262295082,469,19,commit,15,27565,15706,11859,0.5697805187738073,488,312,176,0.639344262295082,random_over
fiber,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.668184471827951,0.3580607877160278,14,0,,,0.5737704918032787,0.6332313519813519,0.4515151515151515,0.8465909090909091,0.5889328063241107,0.8291139240506329,0.4198717948717949,0.5574468085106383,0.8291139240506329,0.4198717948717949,0.5574468085106383,0.273454168528865,0.703143210955711,0.703143210955711,0.7955816382457994,149,27,181,131,488,176,312,0.639344262295082,330,158,commit,15,27565,15706,11859,0.5697805187738073,488,312,176,0.639344262295082,random_over
fiber,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",0.7695112206806463,0.3652414549746793,14,0,,,0.6311475409836066,0.6285693473193472,0.4909909909909909,0.6193181818181818,0.5477386934673367,0.7481203007518797,0.6378205128205128,0.6885813148788927,0.7481203007518797,0.6378205128205128,0.6885813148788927,0.2479612175968932,0.6816907051282051,0.6816907051282051,0.795258601809664,109,67,113,199,488,176,312,0.639344262295082,222,266,commit,15,27565,15706,11859,0.5697805187738073,488,312,176,0.639344262295082,random_over
fiber,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",0.753022701091212,0.3824149076385209,14,0,,,0.610655737704918,0.6249271561771561,0.4722222222222222,0.6761363636363636,0.5560747663551402,0.7584745762711864,0.5737179487179487,0.6532846715328468,0.7584745762711864,0.5737179487179487,0.6532846715328468,0.2400845475033992,0.6721845862470862,0.6721845862470862,0.7926908533050323,119,57,133,179,488,176,312,0.639344262295082,252,236,commit,15,27565,15706,11859,0.5697805187738073,488,312,176,0.639344262295082,random_over
gin,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.159051721191942,0.1458346770439338,14,0,,,0.4436619718309859,0.5,0.4436619718309859,1.0,0.6146341463414634,0.0,0.0,0.0,0.0,0.0,0.0,0.0,0.5085392806911795,0.5085392806911795,0.634871705277998,63,0,79,0,142,63,79,0.5563380281690141,142,0,commit,15,27911,15939,11972,0.5710651714377843,142,79,63,0.5563380281690141,random_over
gin,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.6769322844034872,0.3679315677349289,14,0,,,0.5492957746478874,0.5852923447860157,0.4956521739130435,0.9047619047619048,0.6404494382022472,0.7777777777777778,0.2658227848101265,0.3962264150943396,0.7777777777777778,0.2658227848101265,0.3962264150943396,0.2159698206437053,0.6930882057464336,0.6930882057464336,0.7454091522386983,57,6,58,21,142,63,79,0.5563380281690141,115,27,commit,15,27911,15939,11972,0.5710651714377843,142,79,63,0.5563380281690141,random_over
gin,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7783529300574531,0.351706206324694,14,0,,,0.6619718309859155,0.6753064094836246,0.5882352941176471,0.7936507936507936,0.6756756756756757,0.7719298245614035,0.5569620253164557,0.6470588235294118,0.7719298245614035,0.5569620253164557,0.6470588235294118,0.3553568735141278,0.7228249949768937,0.7228249949768937,0.7588711785853199,50,13,35,44,142,63,79,0.5563380281690141,85,57,commit,15,27911,15939,11972,0.5710651714377843,142,79,63,0.5563380281690141,random_over
gin,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 1.0}",0.7606762539696784,0.3747709606348898,14,0,,,0.6408450704225352,0.6707856138235885,0.5566037735849056,0.9365079365079364,0.6982248520710059,0.8888888888888888,0.4050632911392405,0.5565217391304348,0.8888888888888888,0.4050632911392405,0.5565217391304348,0.3900864976245441,0.7367892304601166,0.7367892304601166,0.7937894775382706,59,4,47,32,142,63,79,0.5563380281690141,106,36,commit,15,27911,15939,11972,0.5710651714377843,142,79,63,0.5563380281690141,random_over
