granularity,metric,all_count,all_mean_diff,all_std_diff,all_ci_low_diff,all_ci_high_diff,all_wilcoxon_pvalue,all_rank_biserial,all_cliffs_delta,all_cliffs_magnitude,all_win_count,all_tie_count,all_loss_count,primary_count,primary_mean_diff,primary_std_diff,primary_ci_low_diff,primary_ci_high_diff,primary_wilcoxon_pvalue,primary_rank_biserial,primary_cliffs_delta,primary_cliffs_magnitude,primary_win_count,primary_tie_count,primary_loss_count
file,f1_1,16,0.009405668174320184,0.03026315102347097,-0.0032184507023656312,0.025036266742790397,0.5618896484375,0.17647058823529413,0.0546875,negligible,8,0,8,12,0.012048264212668199,0.032157847051160954,-0.0026371581333813573,0.03202321433788952,0.791015625,0.10256410256410256,0.05555555555555555,negligible,5,0,7
file,mcc,16,-0.003969569329531919,0.04624496410343159,-0.02864065593259008,0.014096891011662649,0.899932861328125,0.04411764705882353,0.0234375,negligible,7,0,9,12,-0.0004944035114870246,0.017782470864742696,-0.00970435326977567,0.009831908376475592,0.5693359375,-0.20512820512820512,0.0,negligible,4,0,8
method,f1_1,16,-0.001640032846838866,0.007875368349148981,-0.0053884644884584516,0.002081485758357216,0.322509765625,-0.29411764705882354,-0.015625,negligible,7,0,9,15,-0.002874909495502579,0.006349018588626125,-0.006196333935590466,3.076561227352855e-05,0.1353759765625,-0.45,-0.03111111111111111,negligible,6,0,9
method,mcc,16,-0.0009885551218827776,0.019776132721783315,-0.009907176308293845,0.008771302465541529,0.528167724609375,-0.19117647058823528,-0.0234375,negligible,6,0,10,15,-0.00417879986781941,0.015638306019171377,-0.011855545653186592,0.0036671024117514535,0.25238037109375,-0.35,-0.04888888888888889,negligible,5,0,10
