granularity,smote_k,target_count,selected_model_counts,mean_f1_1,std_f1_1,mean_delta_vs_k1_f1_1,wilcoxon_pvalue_vs_k1_f1_1,mean_mcc,std_mcc,mean_delta_vs_k1_mcc,wilcoxon_pvalue_vs_k1_mcc,mean_auc,std_auc,mean_delta_vs_k1_auc,wilcoxon_pvalue_vs_k1_auc
commit,1,16,random_forest=16,0.7618512082,0.07146966352,0,1,0.3541891782,0.07118917072,0,1,0.7630980911,0.05312815659,0,1
commit,5,16,random_forest=16,0.7589621917,0.07866280038,-0.002889016528,0.5618896484,0.3506537285,0.07503967144,-0.003535449671,0.743560791,0.7656969405,0.05040478158,0.002598849322,0.1928100586
file,1,16,naive_bayes=5;logistic_regression=11,0.4376988797,0.08677931135,0,1,0.04332413585,0.03774386558,0,1,0.5421882386,0.02977161064,0,1
file,5,16,naive_bayes=16,0.4964098967,0.05192517538,0.05871101699,0.001312255859,0.04972647477,0.03776979693,0.006402338921,0.743560791,0.5348539582,0.02254165176,-0.007334280421,0.1438598633
method,1,16,naive_bayes=16,0.6043045194,0.111876868,0,1,0.09167621128,0.07933475025,0,1,0.5677187735,0.06638413822,0,1
method,5,16,naive_bayes=16,0.6050460091,0.1115720496,0.0007414897466,1,0.09148897006,0.07769791459,-0.0001872412184,0.668548584,0.5693440788,0.06635306456,0.001625305288,0.3483886719
