granularity,target_project,model_name,timestamp_covered_rows,timestamp_total_rows,timestamp_row_coverage,timestamp_covered_unique_shas,timestamp_total_unique_shas,timestamp_sha_coverage,ambiguous_timestamp_shas,temporal_split_unit,status,error_message,temporal_train_unique_shas,temporal_test_unique_shas,temporal_train_rows,temporal_test_rows,temporal_train_positives,temporal_test_positives,temporal_test_start_timestamp,lopo_late_f1_1,wpdp_f1_1,wpdp_minus_lopo_f1_1,lopo_late_mcc,wpdp_mcc,wpdp_minus_lopo_mcc,lopo_late_auc,wpdp_auc,wpdp_minus_lopo_auc,lopo_late_pr_auc,wpdp_pr_auc,wpdp_minus_lopo_pr_auc
commit,vault,random_forest,682,682,1,658,658,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,526,132,547,135,409,64,1681304742,0.7577639752,0.6863905325,-0.07137344261,0.4952869919,0.2933921844,-0.2018948075,0.8821522887,0.7793794014,-0.1027728873,0.8845596979,0.7968647193,-0.08769497859
file,caddy,logistic_regression,693,693,1,476,476,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,380,96,556,137,234,25,1705177443,0.05,0.1818181818,0.1318181818,-0.105141071,-0.02168112557,0.08345994542,0.4973214286,0.4485714286,-0.04875,0.1804495212,0.2160536768,0.03560415558
file,compose,logistic_regression,80,80,1,48,48,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,38,10,52,28,23,6,1693549976,0.3571428571,0.3333333333,-0.02380952381,0.06060606061,0.02594996481,-0.0346560958,0.4848484848,0.4848484848,0,0.2546296296,0.3682424661,0.1136128364
file,consul,naive_bayes,153,153,1,100,100,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,80,20,119,34,45,13,1641226712,0.4864864865,0.375,-0.1114864865,-0.02344036155,-0.1541575154,-0.1307171539,0.4285714286,0.4377289377,0.009157509158,0.3515964338,0.3860861612,0.03448972742
file,fiber,naive_bayes,676,676,1,282,282,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,225,57,570,106,205,15,1709924593,0.2056074766,0.2280701754,0.0224626988,-0.1613947919,-0.1100147294,0.05138006252,0.4736263736,0.4347985348,-0.03882783883,0.1636160141,0.2118052561,0.04818924197
file,gin,logistic_regression,119,119,1,98,98,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,78,20,98,21,45,1,1673053074,0.1333333333,0.3333333333,0.2,0.158113883,0.4,0.241886117,0.8,0.85,0.05,0.2,0.25,0.05
file,gitea,naive_bayes,19191,19191,1,6998,6998,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,5598,1400,15784,3407,4406,517,1689683556,0.2477693892,0.2632624113,0.01549302219,-0.004901400624,0.01920066643,0.02410206705,0.5036640051,0.5260563003,0.02239229518,0.1601927235,0.1627357757,0.002543052177
file,grafana,logistic_regression,2771,2771,1,1409,1409,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,1127,282,2193,578,704,57,1729247306,0.1578947368,0.171875,0.01398026316,-0.02165518159,0.008810939727,0.03046612132,0.4777418594,0.5315856821,0.05384382261,0.1001360994,0.1205339739,0.02039787443
file,influxdb,logistic_regression,658,658,1,371,371,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,296,75,512,146,183,12,1711487888,0.1052631579,0.1428571429,0.03759398496,-0.09173378085,0.004099738117,0.09583351896,0.4474502488,0.451181592,0.003731343284,0.07937387291,0.075419246,-0.003954626908
file,kubernetes,logistic_regression,407,407,1,206,206,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,164,42,336,71,140,9,1693494827,0.1739130435,0.2162162162,0.04230317274,0.02397736406,0.03904088333,0.01506351927,0.5501792115,0.5340501792,-0.01612903226,0.162991249,0.1546739636,-0.008317285374
file,minio,logistic_regression,4425,4425,1,1796,1796,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,1436,360,3541,884,1429,131,1684211533,0.2419080068,0.2242647059,-0.01764330093,0.02182319981,-0.001292213922,-0.02311541373,0.5164025831,0.5273866367,0.01098405361,0.1570796836,0.1760390888,0.01895940516
file,nomad,logistic_regression,1189,1192,0.9974832215,603,606,0.995049505,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,482,121,878,311,403,41,1712148845,0.18,0.2404371585,0.06043715847,-0.05630739863,0.06258047235,0.118887871,0.4372628726,0.5401535682,0.1028906956,0.1138319642,0.1779481044,0.06411614022
file,packer,logistic_regression,481,481,1,272,272,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,217,55,405,76,158,17,1617130086,0.2413793103,0.3050847458,0.06370543542,-0.1375331934,-0.02506724955,0.1124659439,0.427218345,0.4810568295,0.05383848455,0.2171399919,0.2371058878,0.01996589593
file,rclone,logistic_regression,178,178,1,138,138,1,0,unique SHA ordered by mapped commit_timestamp then SHA,ok,,110,28,137,41,65,7,1705789021,0.1111111111,0.16,0.04888888889,-0.1284567862,-0.14017289,-0.01171610381,0.3781512605,0.4411764706,0.06302521008,0.1490633225,0.1641448887,0.01508156624
