comparison,left_granularity,right_granularity,metric,mean_diff,std_diff,ci_low_diff,ci_high_diff,median_diff,win_count,tie_count,loss_count,wilcoxon_pvalue,rank_biserial,cliffs_delta,cliffs_delta_magnitude,paired_sample_count
Commit vs File,commit,file,f1_1,0.32415232850950915,0.10562962481901961,0.27261167226020555,0.37390742247473635,0.32518549975134764,16,0,0,3.0517578125e-05,1.0,1.0,large,16
Commit vs File,commit,file,mcc,0.310865042297898,0.07545912282497563,0.2749996547201536,0.3463214361970561,0.29805234427621347,16,0,0,3.0517578125e-05,1.0,1.0,large,16
Commit vs Method,commit,method,f1_1,0.15754668883742112,0.13258378825271716,0.09589858492738206,0.22130331826814117,0.1445281526763375,15,0,1,0.00042724609375,0.9117647058823529,0.78125,large,16
Commit vs Method,commit,method,mcc,0.26251296686805686,0.1096604517658389,0.21064853585377863,0.3129313350742113,0.29554485513435796,16,0,0,3.0517578125e-05,1.0,0.9765625,large,16
Method vs File,method,file,f1_1,0.166605639672088,0.1547550030136928,0.09561618624414012,0.2420578346753034,0.13882074231590508,15,0,1,0.00030517578125,0.9264705882352942,0.7890625,large,16
Method vs File,method,file,mcc,0.04835207542984121,0.09564141751592499,0.004112976652786801,0.09532951307291532,0.044704625477900106,9,0,7,0.129730224609375,0.4411764705882353,0.3359375,medium,16
