granularity,mean_f1_1,std_f1_1,ci_low_f1_1,ci_high_f1_1,mean_mcc,std_mcc,ci_low_mcc,ci_high_mcc
commit,0.7618512081934083,0.07146966352206051,0.7265202670571166,0.795162815822704,0.3541891781506943,0.07118917071868897,0.31893651933326295,0.3865382036116031
file,0.43769887968389914,0.08677931134676667,0.39291625057922175,0.4751981183427196,0.04332413585279622,0.03774386557630083,0.025004645306789423,0.06087751832356915
method,0.6043045193559871,0.11187686801485984,0.5510297507651806,0.6562475288973385,0.09167621128263745,0.0793347502535885,0.05598822089147091,0.13107209934585354
