granularity,selection_objective,selection_objective_label,mean_f1_1,std_f1_1,mean_mcc,std_mcc,selected_family_frequencies
commit,f1_primary,Inner-CV positive-class $F_1$,0.7618512081934083,0.07146966352206051,0.3541891781506943,0.07118917071868897,"NB=0, LR=0, RF=16, XGB=0"
commit,mcc_primary,Inner-CV MCC,0.7531547436391313,0.07415377121123824,0.379629541524143,0.07151903417288498,"NB=0, LR=0, RF=0, XGB=16"
file,f1_primary,Inner-CV positive-class $F_1$,0.43769887968389914,0.08677931134676667,0.04332413585279622,0.03774386557630083,"NB=5, LR=11, RF=0, XGB=0"
file,mcc_primary,Inner-CV MCC,0.43041833061539525,0.08642010430626072,0.05065211069794627,0.037998101622512506,"NB=1, LR=15, RF=0, XGB=0"
method,f1_primary,Inner-CV positive-class $F_1$,0.6043045193559871,0.11187686801485984,0.09167621128263745,0.0793347502535885,"NB=16, LR=0, RF=0, XGB=0"
method,mcc_primary,Inner-CV MCC,0.5652925660238671,0.1068052495808974,0.14574133841734782,0.09120348596273264,"NB=0, LR=13, RF=1, XGB=2"
