granularity,target_project,model_name,best_params,smote_k,f1_1,mcc,auc,pr_auc,fixed_family_and_hyperparameters
commit,fiber,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",5,0.6793760832,0.2276480856,0.6754716638,0.7948206881,True
commit,gin,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",5,0.5573770492,0.310888021,0.7016274864,0.7644246579,True
commit,gitea,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",5,0.661278624,0.3470505288,0.7369132628,0.7042080933,True
commit,grafana,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",5,0.7929634641,0.4541354705,0.8005426445,0.8566748536,True
commit,influxdb,random_forest,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",5,0.7878077374,0.3887093075,0.7927399869,0.8770632237,True
commit,kubernetes,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",5,0.8585858586,0.3168799055,0.8347394251,0.9521302179,True
commit,minio,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",5,0.7533220585,0.3434115016,0.7438690117,0.8456462834,True
commit,nomad,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",5,0.8261405672,0.3537604812,0.7806128504,0.9056807561,True
commit,packer,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",5,0.8144654088,0.4087724138,0.7985056399,0.9089038915,True
commit,rclone,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",5,0.7859649123,0.4049555011,0.8201814059,0.9076111097,True
commit,terraform,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",5,0.7581395349,0.4321888934,0.8062638149,0.8734506017,True
commit,traefik,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",5,0.7121771218,0.3158619478,0.7166867785,0.7516373513,True
commit,vault,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",5,0.8399592253,0.4353957801,0.8279383352,0.907917549,True
commit,caddy,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",7,0.6953125,0.3199050142,0.7440217948,0.8245195185,True
commit,compose,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",7,0.7604166667,0.1567895539,0.6632447665,0.8998923435,True
commit,consul,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",7,0.8062015504,0.3550216122,0.7652218782,0.894789405,True
commit,fiber,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",7,0.6782608696,0.2298799639,0.6781486742,0.7935183698,True
commit,gin,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",7,0.6046511628,0.3318851051,0.7172995781,0.7765116014,True
commit,gitea,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",7,0.6596534653,0.3417333981,0.7354714262,0.7019247816,True
commit,grafana,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 100}",7,0.7941308579,0.4537004129,0.7988673652,0.848790113,True
commit,influxdb,random_forest,"{""model__max_depth"": 20, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",7,0.7741935484,0.3292110449,0.7768807847,0.871076584,True
commit,kubernetes,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",7,0.8654822335,0.3617641259,0.8340850666,0.9508456436,True
commit,minio,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",7,0.7546352035,0.3423009608,0.7420728383,0.8430491151,True
commit,nomad,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",7,0.8225108225,0.3461211906,0.7834825402,0.909215938,True
commit,packer,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",7,0.8169014085,0.4099198212,0.8026911804,0.9074414033,True
commit,rclone,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",7,0.7972027972,0.4322538545,0.8227210884,0.9103792258,True
commit,terraform,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",7,0.7690875233,0.4589345173,0.8077102686,0.8724406154,True
commit,traefik,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",7,0.7095115681,0.3056122194,0.7168266169,0.7514975892,True
commit,vault,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",7,0.8380566802,0.4202810076,0.8249997471,0.9098830891,True
file,caddy,logistic_regression,"{""model__C"": 0.1}",1,0.1823529412,0.006751768905,0.5233572941,0.3883608819,True
file,compose,logistic_regression,"{""model__C"": 10.0}",1,0.5208333333,0.05022057619,0.5402298851,0.4471918764,True
file,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.5212765957,-0.0105939291,0.5709618875,0.4675748443,True
file,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.4763061968,-0.002467913878,0.5003289474,0.3180298654,True
file,gin,logistic_regression,"{""model__C"": 1.0}",1,0.528,0.08994638907,0.6051220965,0.5208534016,True
file,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",1,0.3799914126,0.00614864137,0.5111678711,0.263358631,True
file,grafana,logistic_regression,"{""model__C"": 0.1}",1,0.4128514056,0.06537445499,0.5511699061,0.3056270726,True
