granularity,target_count,primary_target_count,with_mean_f1_1,with_std_f1_1,without_mean_f1_1,without_std_f1_1,delta_mean_f1_1,delta_std_f1_1,delta_ci_low_f1_1,delta_ci_high_f1_1,with_mean_mcc,with_std_mcc,without_mean_mcc,without_std_mcc,delta_mean_mcc,delta_std_mcc,delta_ci_low_mcc,delta_ci_high_mcc
file,16,12,0.43769887968389914,0.08677931134676667,0.428293211509579,0.1001863856600605,0.009405668174320184,0.03026315102347097,-0.0032184507023656312,0.025036266742790397,0.04332413585279622,0.03774386557630083,0.04729370518232815,0.06943260685775536,-0.003969569329531919,0.04624496410343159,-0.02864065593259008,0.014096891011662649
method,16,15,0.6043045193559871,0.11187686801485984,0.6059445522028261,0.11397860426660748,-0.001640032846838866,0.007875368349148981,-0.0053884644884584516,0.002081485758357216,0.09167621128263745,0.0793347502535885,0.09266476640452022,0.07966975079141939,-0.0009885551218827776,0.019776132721783315,-0.009907176308293845,0.008771302465541529
