granularity,project_count,beats_majority_count,ties_majority_count,below_majority_count,mean_gap_f1_1,median_gap_f1_1,min_gap_f1_1,max_gap_f1_1,negative_mcc_count,mean_mcc,median_mcc
commit,16,5,0,11,0.015253630674203503,-0.010746278988375935,-0.13936778461740673,0.6607401281786232,0,0.3541891781506943,0.35270659393485354
file,16,16,0,0,0.43769887968389914,0.4430228525373864,0.1823529411764705,0.528,3,0.04332413585279622,0.04670428272459295
method,16,12,0,4,0.3320998451014143,0.46843278143043304,-0.032545674628032484,0.6580844490216272,2,0.09167621128263745,0.07209488842463285
