granularity,target_project,model_name,best_params,source_conflict_identity_keys,source_conflict_rows_removed,target_conflict_identity_keys,target_conflict_rows_removed,cleaned_source_rows,cleaned_target_rows,posthoc_benchmark_cleaning_sensitivity,identity_definition,original_full_f1_1,original_model_retained_test_f1_1,conflict_cleaned_f1_1,cleaned_minus_original_full_f1_1,cleaned_minus_original_retained_test_f1_1,original_full_mcc,original_model_retained_test_mcc,conflict_cleaned_mcc,cleaned_minus_original_full_mcc,cleaned_minus_original_retained_test_mcc,original_full_auc,original_model_retained_test_auc,conflict_cleaned_auc,cleaned_minus_original_full_auc,cleaned_minus_original_retained_test_auc,original_full_pr_auc,original_model_retained_test_pr_auc,conflict_cleaned_pr_auc,cleaned_minus_original_full_pr_auc,cleaned_minus_original_retained_test_pr_auc
commit,rclone,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",3237,6474,7,14,21357,208,True,sha,0.7944250871,0.8088235294,0.8191881919,0.02476310477,0.01036466247,0.4202591955,0.4502362313,0.4845194613,0.06426026582,0.03428322994,0.8216326531,0.8423319328,0.8453781513,0.0237454982,0.003046218487,0.9115254292,0.9274226611,0.9267950947,0.01526966554,-0.0006275663837
commit,terraform,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",3147,6294,97,194,19894,1671,True,sha,0.7627039627,0.7895812053,0.7847328244,0.02202886172,-0.004848380884,0.4451383889,0.4958670042,0.4808556248,0.03571723591,-0.01501137945,0.8073265034,0.8367671212,0.8339169743,0.02659047092,-0.002850146915,0.8733196546,0.8982422341,0.8926337827,0.01931412818,-0.005608451353
commit,traefik,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",2750,5500,494,988,20222,1343,True,sha,0.7131386861,0.8221680877,0.8212324588,0.1080937727,-0.0009356288816,0.3094232511,0.5435537528,0.5422800013,0.2328567502,-0.001273751437,0.7164570707,0.8648489925,0.8679572915,0.1515002207,0.003108298951,0.7486073195,0.9070457112,0.9034901965,0.1548828769,-0.003555514679
commit,vault,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",3220,6440,24,48,20931,634,True,sha,0.8398791541,0.8556149733,0.8528464017,0.01296724764,-0.002768571543,0.4211654077,0.457797531,0.4522454734,0.03108006577,-0.005552057604,0.8236341382,0.8420754831,0.8515198941,0.02788575586,0.009444411003,0.9122313782,0.925288464,0.927093559,0.01486218087,0.001805095061
file,caddy,logistic_regression,"{""model__C"": 0.1}",2309,4618,29,58,35845,635,True,project/file_path/sha,0.1823529412,0.1782178218,0.1721854305,-0.01016751071,-0.006032391319,0.006751768905,0.005742583722,-0.0008136884082,-0.007565457313,-0.006556272131,0.5233572941,0.5281105743,0.534143854,0.0107865599,0.006033279656,0.3883608819,0.3792717626,0.3859993211,-0.00236156087,0.006727558495
file,compose,logistic_regression,"{""model__C"": 10.0}",2337,4674,1,2,36402,78,True,project/file_path/sha,0.5208333333,0.5161290323,0.5263157895,0.00548245614,0.01018675722,0.05022057619,0.04780914437,0.07285073839,0.02263016219,0.02504159401,0.5402298851,0.5392857143,0.5221428571,-0.01808702791,-0.01714285714,0.4471918764,0.4461850532,0.4311504316,-0.01604144482,-0.01503462166
file,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",2338,4676,0,0,36327,153,True,project/file_path/sha,0.5212765957,0.5212765957,0.5222929936,0.001016397886,0.001016397886,-0.0105939291,-0.0105939291,0.09783725166,0.1084311808,0.1084311808,0.5709618875,0.5709618875,0.5421052632,-0.02885662432,-0.02885662432,0.4675748443,0.4675748443,0.4319391985,-0.03563564579,-0.03563564579
file,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",2298,4596,40,80,35884,596,True,project/file_path/sha,0.4763061968,0.4531468531,0.4647887324,-0.01151746445,0.01164187925,-0.002467913878,0.005097718085,0.05744530108,0.05991321496,0.05234758299,0.5003289474,0.5086605235,0.4856503739,-0.01467857344,-0.02301014957,0.3180298654,0.3011105507,0.2883600052,-0.02966986022,-0.01275054547
file,gin,logistic_regression,"{""model__C"": 1.0}",2330,4660,8,16,36377,103,True,project/file_path/sha,0.528,0.5405405405,0.5172413793,-0.01075862069,-0.02329916123,0.08994638907,0.1358678017,0.05741227584,-0.03253411323,-0.07845552581,0.6051220965,0.636437247,0.5874493927,-0.01767270377,-0.04898785425,0.5208534016,0.5335562551,0.5271946394,0.0063412378,-0.006361615731
file,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",1283,2566,1055,2110,19399,17081,True,project/file_path/sha,0.3799914126,0.3412613743,0.3517679057,-0.02822350691,0.01050653138,0.00614864137,-0.004170583427,-0.005840714855,-0.01198935623,-0.001670131428,0.5111678711,0.5032532456,0.5052136085,-0.005954262583,0.001960362906,0.263358631,0.2282232401,0.2304124935,-0.03294613753,0.002189253419
