granularity,target_project,model_name,f1_1,mcc,target_rows,log_target_rows,source_prevalence,target_prevalence,abs_source_target_prevalence_gap,mean_abs_standardized_feature_mean_shift,shifted_feature_count,shift_definition,exploratory,causal_interpretation
file,traefik,naive_bayes,0.4273697426,0.01293461795,6797,8.82438373,0.2919176926,0.2782109754,0.01370671717,0.1995362751,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
file,vault,naive_bayes,0.4555353902,0.04318798926,965,6.873163834,0.2893931477,0.3005181347,0.011124987,0.1100213676,23,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,caddy,naive_bayes,0.658084449,0.1250209044,1467,7.291656209,0.3797013274,0.4996591684,0.1199578409,0.1907939165,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,compose,naive_bayes,0.6234567901,0.134495151,271,5.605802066,0.3808744795,0.4760147601,0.09514028067,0.139594931,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,consul,naive_bayes,0.6963292547,0.06976044268,636,6.456769656,0.3801524441,0.5660377358,0.1858852918,0.073557563,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,fiber,naive_bayes,0.7413127413,0.08174268599,2008,7.605392365,0.3777287552,0.5911354582,0.213406703,0.2998929069,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,gin,naive_bayes,0.5714285714,0.06122652986,176,5.176149733,0.3810373012,0.4090909091,0.02805360786,0.1422573224,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,gitea,naive_bayes,0.5550094405,0.1186647882,54137,10.89929162,0.385031804,0.3756765244,0.00935527966,0.0780385778,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,grafana,naive_bayes,0.5131985397,0.07442933416,11766,9.373054282,0.3847377883,0.3448920619,0.03984572638,0.09045173911,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,influxdb,naive_bayes,0.7361512208,0.275612277,2851,7.955775782,0.3769891992,0.5605050859,0.1835158867,0.1456280187,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,kubernetes,naive_bayes,0.6588921283,-0.01009928709,1215,7.103322063,0.3796643851,0.5283950617,0.1487306767,0.08526843484,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,minio,naive_bayes,0.705337721,0.1725375147,13340,9.498597279,0.3603895821,0.5589205397,0.1985309577,0.3255412978,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,nomad,naive_bayes,0.571577575,0.0532264462,2941,7.986844901,0.3804822282,0.4063243795,0.02584215124,0.08917833902,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,packer,naive_bayes,0.5093803297,0.04689018271,1393,7.239932591,0.3814931219,0.3431442929,0.03834882902,0.1031390577,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,rclone,naive_bayes,0.7692307692,0.2186901765,508,6.232448017,0.3801394302,0.6161417323,0.2360023021,0.03535764651,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,terraform,naive_bayes,0.5294852574,0.03885072228,6234,8.737933858,0.3819513437,0.3639717677,0.01797957595,0.07380288292,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,traefik,naive_bayes,0.4274852331,-0.0009017756523,25810,10.15855604,0.4077990941,0.2752421542,0.1325569399,0.1513214735,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
method,vault,naive_bayes,0.4025122884,0.006673287723,3274,8.094073148,0.3842152093,0.261453879,0.1227613302,0.05542976362,9,mean absolute target-source feature mean difference in source-standard-deviation units after source-median imputation,True,False
