granularity,target_project,model_name,best_params,harmonized_features,source_feature_mapping,fixed_family_and_hyperparameters,partial_feature_family_harmonization_only,remaining_confounds,original_f1_1,harmonized_f1_1,harmonized_minus_original_f1_1,original_mcc,harmonized_mcc,harmonized_minus_original_mcc,original_auc,harmonized_auc,harmonized_minus_original_auc,original_pr_auc,harmonized_pr_auc,harmonized_minus_original_pr_auc
commit,packer,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.8018867925,0.7606973059,-0.04118948659,0.3685660029,0.2508933115,-0.1176726914,0.787569944,0.6961985967,-0.09137134737,0.9014924367,0.8470197467,-0.05447268998
commit,rclone,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7944250871,0.6451612903,-0.1492637968,0.4202591955,0.05032977212,-0.3699294233,0.8216326531,0.5747845805,-0.2468480726,0.9115254292,0.7344925767,-0.1770328525
commit,terraform,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7627039627,0.6629645451,-0.09973941764,0.4451383889,0.09870204104,-0.3464363478,0.8073265034,0.5960287183,-0.2112977851,0.8733196546,0.7056559643,-0.1676636902
commit,traefik,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.7131386861,0.6071861122,-0.1059525739,0.3094232511,0.1649286016,-0.1444946495,0.7164570707,0.6089329477,-0.107524123,0.7486073195,0.6595232198,-0.0890840997
commit,vault,random_forest,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",nloc;token_count;complexity,"{""complexity"": ""total_complexity"", ""nloc"": ""total_nloc"", ""token_count"": ""total_token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.8398791541,0.7837563452,-0.0561228089,0.4211654077,0.227208741,-0.1939566666,0.8236341382,0.6880848094,-0.1355493288,0.9122313782,0.8320939654,-0.08013741272
file,caddy,logistic_regression,"{""model__C"": 0.1}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.1823529412,0.5339805825,0.3516276413,0.006751768905,0.06793321016,0.06118144125,0.5233572941,0.5297359572,0.006378663061,0.3883608819,0.3855327373,-0.002828144599
file,compose,logistic_regression,"{""model__C"": 10.0}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.5208333333,0.5050505051,-0.01578282828,0.05022057619,-0.02948411848,-0.07970469467,0.5402298851,0.4925625423,-0.0476673428,0.4471918764,0.3714385001,-0.0757533763
file,consul,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.5212765957,0.5185185185,-0.002758077226,-0.0105939291,-0.02534536711,-0.01475143802,0.5709618875,0.5058076225,-0.06515426497,0.4675748443,0.393742392,-0.07383245225
file,fiber,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.4763061968,0.06666666667,-0.4096395302,-0.002467913878,0.02778432516,0.03025223904,0.5003289474,0.4604714912,-0.03985745614,0.3180298654,0.3248236476,0.006793782142
file,gin,logistic_regression,"{""model__C"": 1.0}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.528,0.5673758865,0.03937588652,0.08994638907,0.1409473249,0.05100093583,0.6051220965,0.5955926147,-0.009529481834,0.5208534016,0.4551180304,-0.06573537124
file,gitea,naive_bayes,"{""model__var_smoothing"": 1e-09}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.3799914126,0.4025360735,0.02254466084,0.00614864137,-0.000426962418,-0.006575603788,0.5111678711,0.498416332,-0.01275153911,0.263358631,0.2572850319,-0.006073599181
file,grafana,logistic_regression,"{""model__C"": 0.1}",nloc;token_count;complexity,"{""complexity"": ""complexity"", ""nloc"": ""nloc"", ""token_count"": ""token_count""}",True,True,prediction unit;labels;operational class proportion;dataset composition,0.4128514056,0.3937298294,-0.01912157621,0.06537445499,0.06521181673,-0.0001626382631,0.5511699061,0.5321418532,-0.0190280529,0.3056270726,0.2878240238,-0.01780304889
