granularity,project,positive_rows,negative_rows,total_rows,positive_unique_shas,negative_unique_shas,all_unique_shas,positive_rows_per_positive_sha,cross_label_sha_conflicts,cross_label_identity_conflicts,positive_conflict_rows,negative_conflict_rows,raw_conflict_rows,modeled_conflict_rows,missing_method_names_positive,missing_method_names_negative,exact_exported_row_duplicates_removed,modeled_rows_after_exact_duplicate_removal,identity_key_definition,duplicate_definition
method,ALL,93176,90756,183932,6431,11521,16499,14.48857098,1453,3604,13528,4260,17788,11796,45422,5949,55905,128027,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,caddy,831,734,1565,202,282,459,4.113861386,25,39,115,48,163,156,259,89,98,1467,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,compose,143,143,286,25,23,47,5.72,1,1,1,1,2,2,79,33,15,271,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,consul,387,277,664,43,49,92,9,0,0,0,0,0,0,221,13,28,636,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,fiber,1676,870,2546,115,146,241,14.57391304,20,47,235,70,305,252,1263,122,538,2008,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,gin,86,104,190,34,59,86,2.529411765,7,10,14,12,26,23,29,10,14,176,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,gitea,44373,34841,79214,2174,5282,6759,20.41076357,697,1427,8461,1598,10059,5127,27026,2224,25077,54137,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,grafana,6435,7762,14197,1076,1948,2856,5.980483271,168,257,600,309,909,750,2831,872,2431,11766,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,influxdb,3284,1321,4605,144,201,332,22.80555556,13,22,240,24,264,235,2679,228,1754,2851,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,kubernetes,741,578,1319,93,105,197,7.967741935,1,1,3,1,4,4,339,78,104,1215,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,minio,10115,5976,16091,849,1061,1680,11.91401649,230,547,1804,623,2427,2132,6476,741,2751,13340,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,nomad,1406,1761,3167,300,281,554,4.686666667,27,50,154,55,209,145,354,105,226,2941,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,packer,2743,1458,4201,125,135,250,21.944,10,13,17,15,32,31,175,33,2808,1393,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,rclone,362,195,557,56,71,124,6.464285714,3,4,4,4,8,8,265,33,49,508,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,terraform,2456,4164,6620,521,728,1200,4.714011516,49,92,121,103,224,217,726,304,386,6234,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,traefik,14177,27462,41639,497,951,1254,28.52515091,194,1083,1748,1386,3134,2692,2243,927,15829,25810,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
method,vault,3961,3110,7071,177,199,368,22.37853107,8,11,11,11,22,22,457,137,3797,3274,project/file_path/method_name/sha,exact exported-row duplicates only; no metric-tuple deduplication
