target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling,always_positive_f1_1,majority_f1_1,f1_gap_to_majority,minority_count,adequacy
nomad,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7587404590901993,0.3556251837550749,14,0,,,0.7439134355275022,0.6673724323270345,0.5051903114186851,0.5087108013937283,0.5069444444444444,0.8280487804878048,0.8260340632603407,0.8270401948842875,0.8280487804878048,0.8260340632603407,0.8270401948842875,0.3339911296991026,0.7784764787168206,0.7784764787168206,0.905909460442021,146,141,143,679,1109,287,822,0.7412082957619477,289,820,commit,15,26944,15196,11748,0.5639845605700713,1109,822,287,0.7412082957619477,smote,0.8513723459347489,0.8513723459347489,-0.02433215105046138,287,PRIMARY
packer,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7598915324175501,0.3436858898925983,14,0,,,0.7278617710583153,0.688482547295497,0.543046357615894,0.5899280575539568,0.5655172413793104,0.8173076923076923,0.7870370370370371,0.8018867924528302,0.8173076923076923,0.7870370370370371,0.8018867924528302,0.3685660029298584,0.7875699440447643,0.7875699440447643,0.9014924367076576,82,57,69,255,463,139,324,0.6997840172786177,151,312,commit,15,27590,15694,11896,0.5688292859731787,463,324,139,0.6997840172786177,smote,0.8233799237611181,0.8233799237611181,-0.021493131308287894,139,PRIMARY
rclone,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7630531331432963,0.3499247491874142,14,0,,,0.7342342342342343,0.714421768707483,0.5975609756097561,0.6533333333333333,0.6242038216560509,0.8142857142857143,0.7755102040816326,0.794425087108014,0.8142857142857143,0.7755102040816326,0.794425087108014,0.4202591954584909,0.8216326530612243,0.8216326530612243,0.9115254291530202,49,26,33,114,222,75,147,0.6621621621621622,82,140,commit,15,27831,15871,11960,0.5702633753727857,222,147,75,0.6621621621621622,smote,0.7967479674796748,0.7967479674796748,-0.0023228803716608404,75,PRIMARY
terraform,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.7655831864358205,0.3496397579796613,14,0,,,0.7270777479892762,0.7259389376228826,0.6420047732696897,0.7202141900937081,0.6788643533123029,0.7964946445959105,0.7316636851520573,0.7627039627039627,0.7964946445959105,0.7316636851520573,0.7627039627039627,0.4451383888653195,0.8073265033898265,0.8073265033898265,0.8733196545596019,538,209,300,818,1865,747,1118,0.5994638069705094,838,1027,commit,15,26188,14900,11288,0.5689628837635559,1865,1118,747,0.5994638069705094,smote,0.7495809587663426,0.7495809587663426,0.013123003937620115,747,PRIMARY
traefik,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7702526308659297,0.3642581605800112,14,0,,,0.6628056628056628,0.6512756239773156,0.6389201349831272,0.5498547918683446,0.5910509885535901,0.6775312066574203,0.7526964560862865,0.7131386861313869,0.6775312066574203,0.7526964560862865,0.7131386861313869,0.3094232511144968,0.7164570707485044,0.7164570707485044,0.7486073195481487,568,465,321,977,2331,1033,1298,0.5568425568425568,889,1442,commit,15,25722,14720,11002,0.5722727626156597,2331,1298,1033,0.5568425568425568,smote,0.7153485808762744,0.7153485808762744,-0.0022098947448875306,1033,PRIMARY
vault,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": null, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.7578446961894633,0.3397081268949529,14,0,,,0.7668621700879765,0.6943918994102593,0.654320987654321,0.507177033492823,0.5714285714285714,0.801923076923077,0.8816067653276956,0.8398791540785498,0.801923076923077,0.8816067653276956,0.8398791540785498,0.4211654076674801,0.8236341381996216,0.8236341381996216,0.9122313781585628,106,103,56,417,682,209,473,0.6935483870967742,162,520,commit,15,27371,15545,11826,0.5679368674874867,682,473,209,0.6935483870967742,smote,0.8190476190476191,0.8190476190476191,0.020831535030930715,209,PRIMARY
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.4326391733807876,0.0430271101540939,23,0,,,0.5988455988455988,0.5022418732096152,0.6274509803921569,0.8847926267281107,0.734225621414914,0.382716049382716,0.1196911196911196,0.1823529411764705,0.382716049382716,0.1196911196911196,0.1823529411764705,0.0067517689050569,0.5233572940946213,0.5233572940946213,0.3883608819318217,384,50,228,31,693,434,259,0.3737373737373737,612,81,file,15,40463,11662,28801,0.2882139238316487,693,259,434,0.3737373737373737,smote,0.5441176470588235,0.0,0.1823529411764705,259,PRIMARY
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 10.0}",0.4241787026681253,0.0613037252235184,23,0,,,0.425,0.5192697768762677,0.6923076923076923,0.1764705882352941,0.28125,0.373134328358209,0.8620689655172413,0.5208333333333334,0.373134328358209,0.8620689655172413,0.5208333333333334,0.0502205761927124,0.5402298850574713,0.5402298850574713,0.4471918763909748,9,42,4,25,80,51,29,0.3625,13,67,file,15,41076,11892,29184,0.2895121238679521,80,29,51,0.3625,smote,0.5321100917431192,0.0,0.5208333333333334,29,INSUFFICIENT
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.4899329413070367,0.0592608289415613,23,0,,,0.4117647058823529,0.4960980036297641,0.6086956521739131,0.1473684210526315,0.2372881355932203,0.3769230769230769,0.8448275862068966,0.5212765957446809,0.3769230769230769,0.8448275862068966,0.5212765957446809,-0.0105939290976412,0.570961887477314,0.570961887477314,0.4675748442681636,14,81,9,49,153,95,58,0.3790849673202614,23,130,file,15,41003,11863,29140,0.289320293637051,153,58,95,0.3790849673202614,smote,0.5497630331753555,0.0,0.5212765957446809,58,EXPLORATORY
fiber,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5042677186078918,0.0295174030735143,23,0,,,0.3624260355029586,0.499182615629984,0.6712328767123288,0.1074561403508772,0.1852551984877126,0.3250414593698176,0.8909090909090909,0.4763061968408262,0.3250414593698176,0.8909090909090909,0.4763061968408262,-0.0024679138779082,0.5003289473684212,0.5003289473684212,0.3180298654452249,49,407,24,196,676,456,220,0.3254437869822485,73,603,file,15,40480,11701,28779,0.2890563241106719,676,220,456,0.3254437869822485,smote,0.49107142857142855,0.0,0.4763061968408262,220,PRIMARY
