granularity,resampling_condition,resampling_condition_label,mean_f1_1,std_f1_1,mean_mcc,std_mcc,selected_family_frequencies
commit,smote_k1,SMOTE ($k = 1$),0.7618512081934083,0.07146966352206051,0.3541891781506943,0.07118917071868897,"NB=0, LR=0, RF=16, XGB=0"
file,smote_k1,SMOTE ($k = 1$),0.43769887968389914,0.08677931134676667,0.04332413585279622,0.03774386557630083,"NB=5, LR=11, RF=0, XGB=0"
method,smote_k1,SMOTE ($k = 1$),0.6043045193559871,0.11187686801485984,0.09167621128263745,0.0793347502535885,"NB=16, LR=0, RF=0, XGB=0"
commit,random_over,Random oversampling,0.7655020453473613,0.06211192250018449,0.345029081304647,0.07737226956228833,"NB=0, LR=0, RF=16, XGB=0"
file,random_over,Random oversampling,0.4666541124519944,0.061576142599918164,0.03164321464508728,0.10654525230408109,"NB=2, LR=0, RF=1, XGB=13"
method,random_over,Random oversampling,0.6047086713646448,0.11219683007305509,0.09257263067800309,0.0791565031375828,"NB=16, LR=0, RF=0, XGB=0"
commit,no_resampling,No resampling,0.7754030307418147,0.06411415351300158,0.3470655986791867,0.07298954690693939,"NB=0, LR=0, RF=15, XGB=1"
file,no_resampling,No resampling,0.46408916041317294,0.05684566963624682,0.04174576866946725,0.09113976451996372,"NB=1, LR=0, RF=15, XGB=0"
method,no_resampling,No resampling,0.5710973312298322,0.10559424021799522,0.14218490344672685,0.09160239164115119,"NB=1, LR=15, RF=0, XGB=0"
