granularity,project_count,mean_f1_1,std_f1_1,median_f1_1,min_f1_1,max_f1_1,mean_mcc,std_mcc,median_mcc,min_mcc,max_mcc
commit,16,0.7618512081934083,0.07146966352206051,0.7716726370901075,0.608,0.8596713021491783,0.3541891781506943,0.07118917071868897,0.35270659393485354,0.1904107053241536,0.4458316257507287
file,16,0.43769887968389914,0.08677931134676667,0.4430228525373864,0.1823529411764705,0.528,0.04332413585279622,0.03774386557630083,0.04670428272459295,-0.0112509722036418,0.0904363899851433
method,16,0.6043045193559871,0.11187686801485984,0.5975171825454311,0.4025122883670126,0.7692307692307693,0.09167621128263745,0.0793347502535885,0.07209488842463285,-0.0100992870891383,0.2756122769623342
