granularity,project_count,total_rows,overall_bug_ratio,exact_duplicate_ratio,mean_target_rows,std_target_rows,median_target_rows,mean_target_bug_ratio,std_target_bug_ratio,selected_high_f1_count,selected_moderate_f1_count
commit,16,28053,0.5709906248886037,0.0,1753.3125,2601.585432481509,667.5,0.6519540950375879,0.09319886730852008,11,16
file,16,41156,0.28965399941685294,0.12361321096228786,2572.25,4800.701872296036,684.5,0.34072766109376834,0.04550344416311287,0,4
method,16,128027,0.3810758668093449,0.303943848813692,8001.6875,14060.963687783518,2429.5,0.4485378444300647,0.11529041633475191,1,14
