target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
caddy,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.6001711481098478,0.092047732828151,9,0,,,0.547375596455351,0.5475965666831468,0.6356589147286822,0.2234332425068119,0.3306451612903225,0.5285359801488834,0.8717598908594816,0.6580844490216272,0.5285359801488834,0.8717598908594816,0.6580844490216272,0.1250209043566101,0.5757478318730461,0.5757478318730461,0.552832127979708,164,570,94,639,1467,734,733,0.4996591683708248,258,1209,method,15,126560,48055,78505,0.3797013274336283,1467,733,734,0.4996591683708248,smote
caddy,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5677191336488633,0.1465651912997013,9,0,,,0.5453306066803,0.5454600369501619,0.5736263736263736,0.3555858310626703,0.4390243902439024,0.532608695652174,0.7353342428376535,0.6177650429799427,0.532608695652174,0.7353342428376535,0.6177650429799427,0.0982797046679097,0.5559484556393605,0.5559484556393605,0.5335123380657145,261,473,194,539,1467,734,733,0.4996591683708248,455,1012,method,15,126560,48055,78505,0.3797013274336283,1467,733,734,0.4996591683708248,smote
caddy,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.5141232233944579,0.139865917873507,9,0,,,0.5848670756646217,0.584880358052273,0.5886524822695035,0.5653950953678474,0.5767894371091036,0.5813648293963255,0.6043656207366985,0.5926421404682274,0.5813648293963255,0.6043656207366985,0.5926421404682274,0.1698889654408457,0.5993277226581812,0.5993277226581812,0.5952039139364761,415,319,290,443,1467,734,733,0.4996591683708248,705,762,method,15,126560,48055,78505,0.3797013274336283,1467,733,734,0.4996591683708248,smote
caddy,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 0.8}",0.5370106575604175,0.1426289966270943,9,0,,,0.5807770961145194,0.5808210444926044,0.593114241001565,0.5163487738419619,0.5520757465404225,0.571256038647343,0.645293315143247,0.6060217809096733,0.571256038647343,0.645293315143247,0.6060217809096733,0.163000476592961,0.577376018081045,0.577376018081045,0.5612889936541015,379,355,260,473,1467,734,733,0.4996591683708248,639,828,method,15,126560,48055,78505,0.3797013274336283,1467,733,734,0.4996591683708248,smote
compose,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5990821837662242,0.0909060585643933,9,0,,,0.5498154981549815,0.5604869527240965,0.631578947368421,0.3380281690140845,0.4403669724770642,0.517948717948718,0.7829457364341085,0.6234567901234568,0.517948717948718,0.7829457364341085,0.6234567901234568,0.1344951510128325,0.6098646140408341,0.6098646140408341,0.5881762758970792,48,94,28,101,271,142,129,0.4760147601476014,76,195,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.4760147601476014,smote
compose,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5742226326914041,0.1446462590748072,9,0,,,0.5608856088560885,0.5557921170433453,0.5696969696969697,0.6619718309859155,0.6123778501628665,0.5471698113207547,0.4496124031007752,0.4936170212765957,0.5471698113207547,0.4496124031007752,0.4936170212765957,0.1141949659575227,0.5907304290861448,0.5907304290861448,0.5722299203927029,94,48,71,58,271,142,129,0.4760147601476014,165,106,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.4760147601476014,smote
compose,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 300}",0.5146817332239741,0.1380433918473839,9,0,,,0.5756457564575646,0.5670378862321215,0.572972972972973,0.7464788732394366,0.6483180428134556,0.5813953488372093,0.3875968992248062,0.4651162790697674,0.5813953488372093,0.3875968992248062,0.4651162790697674,0.1438647002940923,0.5883830112457692,0.5883830112457692,0.5877937664578073,106,36,79,50,271,142,129,0.4760147601476014,185,86,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.4760147601476014,smote
compose,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",0.5439899886293809,0.1424661390602455,9,0,,,0.5645756457564576,0.5571841904138006,0.5674157303370787,0.7112676056338029,0.63125,0.5591397849462365,0.4031007751937984,0.4684684684684684,0.5591397849462365,0.4031007751937984,0.4684684684684684,0.120307727797326,0.5948247625286603,0.5948247625286603,0.5837112388967713,101,41,77,52,271,142,129,0.4760147601476014,178,93,method,15,127756,48659,79097,0.3808744794765021,271,129,142,0.4760147601476014,smote
consul,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5974677314864648,0.0935246030520923,9,0,,,0.5707547169811321,0.5253019323671497,0.5154639175257731,0.181159420289855,0.2680965147453083,0.5807050092764379,0.8694444444444445,0.696329254727475,0.5807050092764379,0.8694444444444445,0.696329254727475,0.0697604426845317,0.5882447665056361,0.5882447665056361,0.650217605690427,50,226,47,313,636,276,360,0.5660377358490566,97,539,method,15,127391,48428,78963,0.3801524440502076,636,360,276,0.5660377358490566,smote
consul,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.564440279064766,0.1372107326418095,9,0,,,0.6147798742138365,0.6144927536231884,0.5504885993485342,0.6123188405797102,0.5797598627787307,0.6747720364741642,0.6166666666666667,0.6444121915820029,0.6747720364741642,0.6166666666666667,0.6444121915820029,0.2271154353109931,0.6056561996779387,0.6056561996779387,0.6332312090510246,169,107,138,222,636,276,360,0.5660377358490566,307,329,method,15,127391,48428,78963,0.3801524440502076,636,360,276,0.5660377358490566,smote
consul,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.5051515294879636,0.1323494184816168,9,0,,,0.6084905660377359,0.621195652173913,0.5365853658536586,0.717391304347826,0.6139534883720931,0.7078651685393258,0.525,0.6028708133971292,0.7078651685393258,0.525,0.6028708133971292,0.2434187418421979,0.6483242753623188,0.6483242753623188,0.6794262154009126,198,78,171,189,636,276,360,0.5660377358490566,369,267,method,15,127391,48428,78963,0.3801524440502076,636,360,276,0.5660377358490566,smote
consul,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.03, ""model__max_depth"": 4, ""model__n_estimators"": 100, ""model__subsample"": 1.0}",0.5389498748586791,0.1394345323842723,9,0,,,0.6147798742138365,0.623792270531401,0.5441595441595442,0.6920289855072463,0.6092503987240829,0.7017543859649122,0.5555555555555556,0.6201550387596899,0.7017543859649122,0.5555555555555556,0.6201550387596899,0.2467478217346882,0.6437801932367149,0.6437801932367149,0.6739955208066151,191,85,160,200,636,276,360,0.5660377358490566,351,285,method,15,127391,48428,78963,0.3801524440502076,636,360,276,0.5660377358490566,smote
fiber,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.592626199887651,0.0728184218469226,9,0,,,0.599601593625498,0.5169256470061886,0.5977011494252874,0.0633373934226552,0.1145374449339207,0.5996876626756897,0.970513900589722,0.7413127413127413,0.5996876626756897,0.970513900589722,0.7413127413127413,0.0817426859919838,0.5940333105188466,0.5940333105188466,0.6529819899440414,52,769,35,1152,2008,821,1187,0.5911354581673307,87,1921,method,15,126019,47601,78418,0.3777287551877097,2008,1187,821,0.5911354581673307,smote
