granularity,model_name,selection_scope,selection_rule,is_best_model_for_stats,target_project_count,valid_accuracy_count,mean_accuracy,std_accuracy,median_accuracy,min_accuracy,max_accuracy,valid_balanced_accuracy_count,mean_balanced_accuracy,std_balanced_accuracy,median_balanced_accuracy,min_balanced_accuracy,max_balanced_accuracy,valid_precision_0_count,mean_precision_0,std_precision_0,median_precision_0,min_precision_0,max_precision_0,valid_recall_0_count,mean_recall_0,std_recall_0,median_recall_0,min_recall_0,max_recall_0,valid_f1_0_count,mean_f1_0,std_f1_0,median_f1_0,min_f1_0,max_f1_0,valid_precision_1_count,mean_precision_1,std_precision_1,median_precision_1,min_precision_1,max_precision_1,valid_recall_1_count,mean_recall_1,std_recall_1,median_recall_1,min_recall_1,max_recall_1,valid_f1_1_count,mean_f1_1,std_f1_1,median_f1_1,min_f1_1,max_f1_1,valid_auc_count,mean_auc,std_auc,median_auc,min_auc,max_auc,valid_pr_auc_count,mean_pr_auc,std_pr_auc,median_pr_auc,min_pr_auc,max_pr_auc,valid_mcc_count,mean_mcc,std_mcc,median_mcc,min_mcc,max_mcc,valid_precision_count,mean_precision,std_precision,median_precision,min_precision,max_precision,valid_recall_count,mean_recall,std_recall,median_recall,min_recall,max_recall,valid_f1_count,mean_f1,std_f1,median_f1,min_f1,max_f1,valid_roc_auc_count,mean_roc_auc,std_roc_auc,median_roc_auc,min_roc_auc,max_roc_auc
commit,nested_selection,outer-fold model-family selection,"For each held-out target project, choose the model with the best inner-CV f1; tie-break with inner-CV mcc, then config order.",True,16,16,0.7070906885158297,0.0423020923736459,0.7166963512883681,0.6311475409836066,0.7835671342685371,16,0.6722739840719959,0.03408155687872687,0.6751091798421481,0.5817230273752013,0.7185941140830465,16,0.5693481994560196,0.10901708505176552,0.5904139433551199,0.2444444444444444,0.7342777420047221,16,0.5847879498597076,0.08921865453402099,0.6165873854827343,0.4545454545454545,0.7936507936507936,16,0.571266783028808,0.08855876237888254,0.5837892216514644,0.3235294117647059,0.6784333168071394,16,0.7769306766179609,0.06054266887521331,0.7886629955130344,0.6204807874313837,0.8604651162790697,16,0.7597600182842841,0.08272783758076935,0.7756595704537593,0.5569620253164557,0.8837209302325582,16,0.7655020453473613,0.06013961036103507,0.7726775712404883,0.6470588235294118,0.8632911392405064,16,0.7637270218187565,0.04640084826296505,0.7674666354646578,0.6747181964573269,0.8290156488665448,16,0.8544425191972542,0.06680698187901193,0.8723289335345817,0.7091285568533164,0.9491729948922628,16,0.345029081304647,0.07491537786825345,0.3523347540466947,0.1309467594324357,0.445559170699758,,,,,,,,,,,,,,,,,,,,,,,,
commit,logistic_regression,single_model_summary,,False,16,16,0.6535475425581445,0.06875534690623786,0.6627124145095551,0.4885496183206106,0.7354709418837675,16,0.6860085203648505,0.055042399576741195,0.6796805560934382,0.5852923447860157,0.7699319727891156,16,0.49871074941619997,0.09250755145840318,0.507897118007725,0.2179487179487179,0.6535774175517048,16,0.820004357093916,0.05972634163801227,0.8350601604278074,0.6939655172413793,0.9047619047619048,16,0.6152973068381358,0.08722995975376113,0.6311740890688259,0.3366336633663366,0.7434430138292799,16,0.8494892282867476,0.05777207809389148,0.8654547123696694,0.7311557788944724,0.9150943396226416,16,0.552012683635785,0.12549855037655294,0.563015227279148,0.2658227848101265,0.7300771208226221,16,0.6624597831953463,0.10845306106387638,0.680698158308666,0.3962264150943396,0.8114285714285714,16,0.7522207893229187,0.04384983114142587,0.7632101694455987,0.6566022544283414,0.8170068027210884,16,0.8445384873230535,0.06794564633517561,0.8580456370790113,0.7012519316356253,0.9259833348976884,16,0.35834273843224534,0.09387711441571742,0.3619354784664739,0.1351222487989216,0.5112010017817298,16.0,0.8494892282867476,0.05777207809389148,0.8654547123696694,0.7311557788944724,0.9150943396226416,16.0,0.552012683635785,0.12549855037655294,0.563015227279148,0.2658227848101265,0.7300771208226221,16.0,0.6624597831953463,0.10845306106387638,0.680698158308666,0.3962264150943396,0.8114285714285714,16.0,0.7522207893229187,0.04384983114142587,0.7632101694455987,0.6566022544283414,0.8170068027210884
commit,naive_bayes,single_model_summary,,False,16,16,0.40051845633291633,0.0767412367923866,0.40173489210445046,0.1984732824427481,0.5673908670287668,16,0.5365496566394798,0.02484509705849525,0.5317456986175866,0.5,0.5763379294227624,16,0.36497914434438594,0.08746743206520034,0.3688699360341151,0.1796875,0.5581035017043694,16,0.9911393329144857,0.009752116312750374,0.9942834527070568,0.9715909090909092,1.0,16,0.5274697682340077,0.09535157346438848,0.53685540950455,0.304635761589404,0.715297544184815,16,0.8817265427078065,0.2391896381924142,0.9591817845242503,0.0,1.0,16,0.08195998036447392,0.05183356097691785,0.075498025465818,0.0,0.1799485861182519,16,0.14663482104005438,0.08780944569440732,0.13935907893526062,0.0,0.303030303030303,16,0.679281320488367,0.06654761104927889,0.6746142688784753,0.5085392806911795,0.7730355300014743,16,0.8077097344741955,0.08425524707666789,0.8327556359694901,0.634871705277998,0.9107766005371266,16,0.13533902603686895,0.06446915288991382,0.1419217437342788,0.0,0.230878548269805,16.0,0.8817265427078065,0.2391896381924142,0.9591817845242503,0.0,1.0,16.0,0.08195998036447392,0.05183356097691785,0.075498025465818,0.0,0.1799485861182519,16.0,0.14663482104005438,0.08780944569440732,0.13935907893526062,0.0,0.303030303030303,16.0,0.679281320488367,0.06654761104927889,0.6746142688784753,0.5085392806911795,0.7730355300014743
commit,random_forest,single_model_summary,,False,16,16,0.7070906885158297,0.0423020923736459,0.7166963512883681,0.6311475409836066,0.7835671342685371,16,0.6722739840719959,0.03408155687872687,0.6751091798421481,0.5817230273752013,0.7185941140830465,16,0.5693481994560196,0.10901708505176552,0.5904139433551199,0.2444444444444444,0.7342777420047221,16,0.5847879498597076,0.08921865453402099,0.6165873854827343,0.4545454545454545,0.7936507936507936,16,0.571266783028808,0.08855876237888254,0.5837892216514644,0.3235294117647059,0.6784333168071394,16,0.7769306766179609,0.06054266887521331,0.7886629955130344,0.6204807874313837,0.8604651162790697,16,0.7597600182842841,0.08272783758076935,0.7756595704537593,0.5569620253164557,0.8837209302325582,16,0.7655020453473613,0.06013961036103507,0.7726775712404883,0.6470588235294118,0.8632911392405064,16,0.7637270218187565,0.04640084826296505,0.7674666354646578,0.6747181964573269,0.8290156488665448,16,0.8544425191972542,0.06680698187901193,0.8723289335345817,0.7091285568533164,0.9491729948922628,16,0.345029081304647,0.07491537786825345,0.3523347540466947,0.1309467594324357,0.445559170699758,16.0,0.7769306766179609,0.06054266887521331,0.7886629955130344,0.6204807874313837,0.8604651162790697,16.0,0.7597600182842841,0.08272783758076935,0.7756595704537593,0.5569620253164557,0.8837209302325582,16.0,0.7655020453473613,0.06013961036103507,0.7726775712404883,0.6470588235294118,0.8632911392405064,16.0,0.7637270218187565,0.04640084826296505,0.7674666354646578,0.6747181964573269,0.8290156488665448
commit,xgboost,single_model_summary,,False,16,16,0.7049828667278294,0.05034890863361628,0.719510693068494,0.610655737704918,0.781563126252505,16,0.6913150949382063,0.04115518309780834,0.6952994206148657,0.5803140096618358,0.7540136054421769,16,0.557355091988294,0.10516573252158372,0.5742478327383987,0.2352941176470588,0.7215613382899628,16,0.6777782087520211,0.09692024377031674,0.6761976782210595,0.5217391304347826,0.9365079365079364,16,0.6057226692253566,0.0899424654597639,0.6019271051529116,0.3243243243243243,0.7184897279289284,16,0.8101656236472838,0.06120219040530371,0.8119313990656503,0.6615519508987286,0.8888888888888888,16,0.7048519811243916,0.10897796313274598,0.7215508743747947,0.4050632911392405,0.8520084566596194,16,0.747976019824263,0.07707317564397431,0.7671329610805416,0.5565217391304348,0.8571428571428571,16,0.7666429648440026,0.05158452560543208,0.7840893691884521,0.6493558776167473,0.8330612244897959,16,0.8578114275662299,0.062353901125043215,0.8797819028298124,0.7164223475354001,0.9366707673542308,16,0.3743411227315932,0.0844579543074739,0.38909034287588107,0.1253334569025891,0.4844348739149686,16.0,0.8101656236472838,0.06120219040530371,0.8119313990656503,0.6615519508987286,0.8888888888888888,16.0,0.7048519811243916,0.10897796313274598,0.7215508743747947,0.4050632911392405,0.8520084566596194,16.0,0.747976019824263,0.07707317564397431,0.7671329610805416,0.5565217391304348,0.8571428571428571,16.0,0.7666429648440026,0.05158452560543208,0.7840893691884521,0.6493558776167473,0.8330612244897959
file,nested_selection,outer-fold model-family selection,"For each held-out target project, choose the model with the best inner-CV f1; tie-break with inner-CV mcc, then config order.",True,16,16,0.47132549510525523,0.07718863310059994,0.4920198311631796,0.3624260355029586,0.5820668693009119,16,0.5190354587048838,0.04914599069988434,0.519090863185218,0.40513626834381555,0.6185229303156641,16,0.66647241877219,0.10104154103189392,0.6701752618855761,0.4576271186440678,0.7894736842105263,16,0.34560633705981847,0.18167605154823943,0.38183604120208137,0.0714285714285714,0.6414686825053996,16,0.43382344755444163,0.18410547132879806,0.5012347372753464,0.1252525252525252,0.6835443037974683,16,0.3569783042131656,0.043517955933364764,0.35860761197794183,0.28162564396107614,0.4691358024691358,16,0.692464580349949,0.14597063981966002,0.7007174265216385,0.441025641025641,0.8909090909090909,16,0.4666541124519944,0.05962084370329402,0.47526650048226876,0.3601728201099764,0.5984251968503937,16,0.5382064409708612,0.054756870778830444,0.5440998379725938,0.39458857442348005,0.6195478927203065,16,0.38407195720860865,0.06156981539142094,0.39010943526012154,0.2824868506847047,0.5080792862361136,16,0.03164321464508729,0.10316199694779339,0.040773578695892224,-0.19781075223866462,0.24759302966240082,,,,,,,,,,,,,,,,,,,,,,,,
file,logistic_regression,single_model_summary,,False,16,16,0.5066574488733343,0.04688839842827533,0.505894783790672,0.425,0.5974025974025974,16,0.5281348276805273,0.01718106459817034,0.5295632535668313,0.5010897994768962,0.5600766283524904,16,0.6908290988440288,0.04788753827218198,0.6840665538635082,0.5966386554621849,0.7672375933245499,16,0.4732402077331173,0.16396491187664794,0.42854928485873317,0.1764705882352941,0.8824884792626728,16,0.5428012899731729,0.10328827177508715,0.5285457648730856,0.28125,0.7330143540669857,16,0.36385295995925426,0.04630990555446904,0.37730488976359505,0.2696601941747573,0.417910447761194,16,0.5830294476279374,0.17302456316676704,0.6369142351900973,0.1196911196911196,0.8620689655172413,16,0.43039428843487093,0.08121736069475691,0.42955205146308933,0.1818181818181818,0.5208333333333334,16,0.5372541796524153,0.025309614178873615,0.5421848739495798,0.48676624737945495,0.5747731397459165,16,0.37190413851958076,0.056682329259573554,0.38107513266442694,0.27540811437687623,0.4831279906405247,16,0.05526626008681899,0.03258499607525575,0.056899546256413025,0.0032647039617688,0.11064812760895856,16.0,0.36385295995925426,0.04630990555446904,0.37730488976359505,0.2696601941747573,0.417910447761194,16.0,0.5830294476279374,0.17302456316676704,0.6369142351900973,0.1196911196911196,0.8620689655172413,16.0,0.43039428843487093,0.08121736069475691,0.42955205146308933,0.1818181818181818,0.5208333333333334,16.0,0.5372541796524153,0.025309614178873615,0.5421848739495798,0.48676624737945495,0.5747731397459165
file,naive_bayes,single_model_summary,,False,16,16,0.47966774828605674,0.09970410703311759,0.46259237614056253,0.3269089304104752,0.7181522915914832,16,0.50902038307648,0.015370420760267905,0.504045228920367,0.49059757236227824,0.5478671775223499,16,0.677272425265511,0.05298677463396346,0.6689497716894977,0.6,0.7835497835497836,16,0.41251626937703106,0.2909107230298257,0.27868339760170535,0.0784313725490196,0.9890547263681592,16,0.4541937786531144,0.21235260161746314,0.4055106655347046,0.1403508771929824,0.835820895522388,16,0.32690691093275986,0.0822568683253145,0.35929413456009196,0.08333333333333333,0.4122137404580153,16,0.605524496775929,0.3005450084762214,0.7364665854153971,0.002628120893561104,0.9310344827586208,16,0.396672094160453,0.1566598749797127,0.4457783364760109,0.005095541401273885,0.5320197044334976,16,0.5282882619035891,0.022190833111769274,0.5234490398347491,0.4990330940988836,0.5850242656449552,16,0.35931772028160924,0.05559577100968486,0.3699484691264605,0.26268504406008186,0.4646339102539739,16,0.016496386093942036,0.04003335913726611,0.011896583545144786,-0.05381796536377556,0.10286430148253767,16.0,0.32690691093275986,0.0822568683253145,0.35929413456009196,0.08333333333333333,0.4122137404580153,16.0,0.605524496775929,0.3005450084762214,0.7364665854153971,0.002628120893561104,0.9310344827586208,16.0,0.396672094160453,0.1566598749797127,0.4457783364760109,0.005095541401273885,0.5320197044334976,16.0,0.5282882619035891,0.022190833111769274,0.5234490398347491,0.4990330940988836,0.5850242656449552
file,random_forest,single_model_summary,,False,16,16,0.48981337351036724,0.06792376458109248,0.5055061146719231,0.35,0.5942249240121581,16,0.5239976205220187,0.04276215627316842,0.5309771751415393,0.4212526205450734,0.5869604086845466,16,0.6737846500270174,0.09561475534213805,0.691751700680272,0.4545454545454545,0.8011527377521613,16,0.3949142000781271,0.16843799030037304,0.42852194498956486,0.0875576036866359,0.6760259179265659,16,0.48203380560234976,0.1627518850015037,0.5482061317677756,0.1513944223107569,0.7010078387458006,16,0.3616459398516959,0.04493001131910014,0.3605995205838113,0.2754233409610984,0.4603174603174603,16,0.6530810409659105,0.13543375614368924,0.6208237289033729,0.4,0.8841698841698842,16,0.460859453826134,0.058069595707807085,0.47035652815343004,0.3530097087378641,0.547486033519553,16,0.5428768910935657,0.046769141759930494,0.5445566558546983,0.41876310272536693,0.6368991060025543,16,0.3824646009318201,0.04842821982563432,0.39483799054988633,0.2818401936677146,0.46972563326081884,16,0.042378855740823056,0.09189128944073774,0.060103158020369744,-0.1672828374425476,0.16616650225091653,16.0,0.3616459398516959,0.04493001131910014,0.3605995205838113,0.2754233409610984,0.4603174603174603,16.0,0.6530810409659105,0.13543375614368924,0.6208237289033729,0.4,0.8841698841698842,16.0,0.460859453826134,0.058069595707807085,0.47035652815343004,0.3530097087378641,0.547486033519553,16.0,0.5428768910935657,0.046769141759930494,0.5445566558546983,0.41876310272536693,0.6368991060025543
file,xgboost,single_model_summary,,False,16,16,0.4849914395058852,0.0714578999985989,0.4963439481455244,0.3625,0.5820668693009119,16,0.5253775696710845,0.049433132698924354,0.5294528409590453,0.40513626834381555,0.6185229303156641,16,0.6760367815392292,0.10073260412154499,0.689374185136897,0.4576271186440678,0.7894736842105263,16,0.372961812023509,0.16705270550547757,0.39174752038593774,0.0714285714285714,0.6414686825053996,16,0.464921079003827,0.167950094956334,0.5117523827063861,0.1252525252525252,0.6835443037974683,16,0.3615354327536362,0.043685059546659494,0.3633137432188065,0.28162564396107614,0.4691358024691358,16,0.6777933273186602,0.13483640471464853,0.6962810244396607,0.441025641025641,0.8841698841698842,16,0.46822514798655346,0.06104314174515222,0.47711340206185565,0.3601728201099764,0.5984251968503937,16,0.5418246452538311,0.054798007872617314,0.5440998379725938,0.39458857442348005,0.6195478927203065,16,0.3898024452605994,0.05924185798746141,0.3940903956970076,0.2824868506847047,0.5080792862361136,16,0.04494598182991674,0.10417619589585111,0.05741550477789638,-0.19781075223866462,0.24759302966240082,16.0,0.3615354327536362,0.043685059546659494,0.3633137432188065,0.28162564396107614,0.4691358024691358,16.0,0.6777933273186602,0.13483640471464853,0.6962810244396607,0.441025641025641,0.8841698841698842,16.0,0.46822514798655346,0.06104314174515222,0.47711340206185565,0.3601728201099764,0.5984251968503937,16.0,0.5418246452538311,0.054798007872617314,0.5440998379725938,0.39458857442348005,0.6195478927203065
