target_project,model_name,status,inner_cv_strategy,best_params,best_inner_f1,best_inner_mcc,retained_feature_count,dropped_constant_feature_count,dropped_constant_features,error_message,accuracy,balanced_accuracy,precision_0,recall_0,f1_0,precision_1,recall_1,f1_1,precision,recall,f1,mcc,roc_auc,auc,pr_auc,true_negative,false_positive,false_negative,true_positive,test_total,test_negative,test_positive,test_positive_ratio,predicted_negative,predicted_positive,granularity,source_project_count,source_row_count,source_bug_count,source_non_bug_count,source_bug_ratio,target_row_count,target_bug_count,target_non_bug_count,target_bug_ratio,resampling
fiber,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5588863750854249,0.07964078072822027,9,0,,,0.602589641434263,0.5213308610228347,0.6138613861386139,0.07551766138855055,0.13449023861171366,0.6019926586261143,0.9671440606571188,0.7420814479638009,0.6019926586261143,0.9671440606571188,0.7420814479638009,0.09596199904225786,0.6005544228122977,0.6005544228122977,0.657395696146835,62,759,39,1148,2008,821,1187,0.5911354581673307,101,1907,method,15,126019,47601,78418,0.37772875518770976,2008,1187,821,0.5911354581673307,none
fiber,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 1.0}",0.5607300091792229,0.14271954153011376,9,0,,,0.6065737051792829,0.5710832024151203,0.5264054514480409,0.3763702801461632,0.43892045454545453,0.6396903589021815,0.7657961246840775,0.6970858895705522,0.6396903589021815,0.7657961246840775,0.6970858895705522,0.15366601515903447,0.5780665902535281,0.5780665902535281,0.6251755879853513,309,512,278,909,2008,821,1187,0.5911354581673307,587,1421,method,15,126019,47601,78418,0.37772875518770976,2008,1187,821,0.5911354581673307,none
fiber,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 1, ""model__n_estimators"": 100}",0.4959860622042815,0.13312168301922464,9,0,,,0.5861553784860558,0.5849848182759431,0.4947916666666667,0.5785627283800243,0.5334081976417743,0.6698473282442748,0.5914069081718618,0.6281879194630873,0.6698473282442748,0.5914069081718618,0.6281879194630873,0.16728308380491005,0.6018175997176066,0.6018175997176066,0.6641118561007814,475,346,485,702,2008,821,1187,0.5911354581673307,960,1048,method,15,126019,47601,78418,0.37772875518770976,2008,1187,821,0.5911354581673307,none
fiber,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",0.20096581596818636,0.069500042748787,9,0,,,0.43227091633466136,0.5087185886076014,0.41345632121540965,0.928136419001218,0.5720720720720721,0.6424242424242425,0.08930075821398484,0.15680473372781065,0.6424242424242425,0.08930075821398484,0.15680473372781065,0.031215369468741434,0.6050324926861954,0.6050324926861954,0.6609644078193557,762,59,1081,106,2008,821,1187,0.5911354581673307,1843,165,method,15,126019,47601,78418,0.37772875518770976,2008,1187,821,0.5911354581673307,none
gin,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.5626958332068153,0.09588840095449207,9,0,,,0.4375,0.49198717948717946,0.5714285714285714,0.19230769230769232,0.28776978417266186,0.40425531914893614,0.7916666666666666,0.5352112676056338,0.40425531914893614,0.7916666666666666,0.5352112676056338,-0.019740345507236454,0.49292200854700857,0.49292200854700857,0.39476163696132305,20,84,15,57,176,104,72,0.4090909090909091,35,141,method,15,127851,48716,79135,0.3810373012334671,176,72,104,0.4090909090909091,none
gin,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5719940796665338,0.15031079876715817,9,0,,,0.4772727272727273,0.5170940170940171,0.62,0.2980769230769231,0.4025974025974026,0.42063492063492064,0.7361111111111112,0.5353535353535354,0.42063492063492064,0.7361111111111112,0.5353535353535354,0.03727234975011265,0.4719551282051282,0.4719551282051282,0.39401458129579703,31,73,19,53,176,104,72,0.4090909090909091,50,126,method,15,127851,48716,79135,0.3810373012334671,176,72,104,0.4090909090909091,none
gin,random_forest,ok,leave-one-source-project-out,"{""model__max_depth"": 10, ""model__min_samples_leaf"": 2, ""model__n_estimators"": 300}",0.5190789418723436,0.149361283203738,9,0,,,0.4943181818181818,0.5144230769230769,0.6086956521739131,0.40384615384615385,0.48554913294797686,0.4205607476635514,0.625,0.5027932960893855,0.4205607476635514,0.625,0.5027932960893855,0.029050552674537704,0.5029380341880342,0.5029380341880342,0.407215501063373,42,62,27,45,176,104,72,0.4090909090909091,69,107,method,15,127851,48716,79135,0.3810373012334671,176,72,104,0.4090909090909091,none
gin,xgboost,ok,leave-one-source-project-out,"{""model__learning_rate"": 0.1, ""model__max_depth"": 6, ""model__n_estimators"": 300, ""model__subsample"": 0.8}",0.20678848383950305,0.0754448520399849,9,0,,,0.5625,0.48664529914529914,0.5838509316770186,0.9038461538461539,0.7094339622641509,0.3333333333333333,0.06944444444444445,0.11494252873563218,0.3333333333333333,0.06944444444444445,0.11494252873563218,-0.04703146535775665,0.4858440170940171,0.4858440170940171,0.4027646708742072,94,10,67,5,176,104,72,0.4090909090909091,161,15,method,15,127851,48716,79135,0.3810373012334671,176,72,104,0.4090909090909091,none
gitea,naive_bayes,ok,leave-one-source-project-out,"{""model__var_smoothing"": 1e-09}",0.12474773331876657,0.02827124017622541,9,0,,,0.617452019875501,0.4984231435920726,0.623567396106716,0.9771295008728069,0.7613010304050161,0.3415672913117547,0.019716786311338382,0.03728151729267386,0.3415672913117547,0.019716786311338382,0.03728151729267386,-0.010485951702976231,0.5002882998675093,0.5002882998675093,0.3657958880506129,33026,773,19937,401,54137,33799,20338,0.3756765243733491,52963,1174,method,15,73890,28450,45440,0.38503180403302206,54137,20338,33799,0.3756765243733491,none
gitea,logistic_regression,ok,leave-one-source-project-out,"{""model__C"": 0.1}",0.5765770423310147,0.13826996811247988,9,0,,,0.5755398341245359,0.6013363825598109,0.7371143057503506,0.4975886860558005,0.5941181665636316,0.45783978800166025,0.7050840790638214,0.5551791556166399,0.45783978800166025,0.7050840790638214,0.5551791556166399,0.19877596749131932,0.6323386491713807,0.6323386491713807,0.46382044986280274,16818,16981,5998,14340,54137,33799,20338,0.3756765243733491,22816,31321,method,15,73890,28450,45440,0.38503180403302206,54137,20338,33799,0.3756765243733491,none
